i,l,k,zeta,w,phi1,phi2,xn,yn,xl1,yl1,xl2,yl2,xs,ys,delta_s,r,drdn,G,dGdn
17,21,2,0.339981,0.652145,0.330009,0.669991,-0.258819,-0.965926,0.707107,-0.707107,0.866025,-0.5,0.813581,-0.568347,0.261052,1.14373,0.532261,-0.134292,-0.465375
17,21,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,-0.965926,0.707107,-0.707107,0.866025,-0.5,0.854991,-0.51438,0.261052,1.20186,0.506516,-0.18387,-0.421443
17,22,0,-0.861136,0.347855,0.930568,0.0694318,-0.258819,-0.965926,0.866025,-0.5,0.965926,-0.258819,0.872962,-0.483254,0.261052,1.23041,0.699703,-0.207344,-0.568676
17,22,1,-0.339981,0.652145,0.669991,0.330009,-0.258819,-0.965926,0.866025,-0.5,0.965926,-0.258819,0.898993,-0.420408,0.261052,1.27989,0.67265,-0.246774,-0.525553
17,22,2,0.339981,0.652145,0.330009,0.669991,-0.258819,-0.965926,0.866025,-0.5,0.965926,-0.258819,0.932958,-0.338411,0.261052,1.34689,0.639191,-0.297797,-0.474569
17,22,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,-0.965926,0.866025,-0.5,0.965926,-0.258819,0.95899,-0.275565,0.261052,1.39988,0.614996,-0.336385,-0.439321
17,23,0,-0.861136,0.347855,0.930568,0.0694318,-0.258819,-0.965926,0.965926,-0.258819,1,0,0.968292,-0.240849,0.261052,1.42532,0.787171,-0.354396,-0.552277
17,23,1,-0.339981,0.652145,0.669991,0.330009,-0.258819,-0.965926,0.965926,-0.258819,1,0,0.977171,-0.173406,0.261052,1.46825,0.764155,-0.384071,-0.520453
17,23,2,0.339981,0.652145,0.330009,0.669991,-0.258819,-0.965926,0.965926,-0.258819,1,0,0.988755,-0.0854127,0.261052,1.52701,0.734753,-0.423308,-0.481172
17,23,3,0.861136,0.347855,0.0694318,0.930568,-0.258819,-0.965926,0.965926,-0.258819,1,0,0.997634,-0.0179703,0.261052,1.57394,0.712841,-0.453583,-0.452902
18,0,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,1,0,0.965926,0.258819,0.997634,0.0179703,0.261052,1.42532,0.787171,-0.354396,-0.552277
18,0,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,1,0,0.965926,0.258819,0.988755,0.0854127,0.261052,1.46825,0.764155,-0.384071,-0.520453
18,0,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,1,0,0.965926,0.258819,0.977171,0.173406,0.261052,1.52701,0.734753,-0.423308,-0.481172
18,0,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,1,0,0.965926,0.258819,0.968292,0.240849,0.261052,1.57394,0.712841,-0.453583,-0.452902
18,1,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.965926,0.258819,0.866025,0.5,0.95899,0.275565,0.261052,1.59585,0.861065,-0.467404,-0.539567
18,1,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.965926,0.258819,0.866025,0.5,0.932958,0.338411,0.261052,1.63149,0.842254,-0.489493,-0.516249
18,1,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.965926,0.258819,0.866025,0.5,0.898993,0.420408,0.261052,1.681,0.817449,-0.519387,-0.486288
18,1,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.965926,0.258819,0.866025,0.5,0.872962,0.483254,0.261052,1.72108,0.798412,-0.54295,-0.463903
18,2,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.866025,0.5,0.707107,0.707107,0.854991,0.51438,0.261052,1.73907,0.920152,-0.553349,-0.529106
18,2,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.866025,0.5,0.707107,0.707107,0.813581,0.568347,0.261052,1.76681,0.905702,-0.569177,-0.512619
18,2,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.866025,0.5,0.707107,0.707107,0.759551,0.63876,0.261052,1.80623,0.885939,-0.591239,-0.490492
18,2,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.866025,0.5,0.707107,0.707107,0.718141,0.692727,0.261052,1.83876,0.870262,-0.609093,-0.473287
18,3,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.707107,0.707107,0.5,0.866025,0.692727,0.718141,0.261052,1.85253,0.963437,-0.616554,-0.520065
18,3,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.707107,0.707107,0.5,0.866025,0.63876,0.759551,0.261052,1.87191,0.953465,-0.626958,-0.509355
18,3,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.707107,0.707107,0.5,0.866025,0.568347,0.813581,0.261052,1.90055,0.939095,-0.642144,-0.494117
18,3,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.707107,0.707107,0.5,0.866025,0.51438,0.854991,0.261052,1.92499,0.927174,-0.65492,-0.481652
18,4,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.5,0.866025,0.258819,0.965926,0.483254,0.872962,0.261052,1.9343,0.990189,-0.659746,-0.511911
18,4,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.5,0.866025,0.258819,0.965926,0.420408,0.898993,0.261052,1.94497,0.984756,-0.665248,-0.506309
18,4,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.5,0.866025,0.258819,0.965926,0.338411,0.932958,0.261052,1.96236,0.976032,-0.674147,-0.497377
18,4,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.5,0.866025,0.258819,0.965926,0.275565,0.95899,0.261052,1.97828,0.968179,-0.682226,-0.489405
18,5,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.258819,0.965926,6.12323e-17,1,0.240849,0.968292,0.261052,1.98297,0.999958,-0.684597,-0.504272
18,5,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.258819,0.965926,6.12323e-17,1,0.173406,0.977171,0.261052,1.98476,0.999058,-0.685498,-0.503364
18,5,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.258819,0.965926,6.12323e-17,1,0.0854127,0.988755,0.261052,1.99059,0.996132,-0.68843,-0.500421
18,5,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.258819,0.965926,6.12323e-17,1,0.0179703,0.997634,0.261052,1.99771,0.992579,-0.692004,-0.496857
18,6,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,6.12323e-17,1,-0.258819,0.965926,-0.0179703,0.997634,0.261052,1.99771,0.992579,-0.692004,-0.496857
18,6,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,6.12323e-17,1,-0.258819,0.965926,-0.0854127,0.988755,0.261052,1.99059,0.996132,-0.68843,-0.500421
18,6,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,6.12323e-17,1,-0.258819,0.965926,-0.173406,0.977171,0.261052,1.98476,0.999058,-0.685498,-0.503364
18,6,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,6.12323e-17,1,-0.258819,0.965926,-0.240849,0.968292,0.261052,1.98297,0.999958,-0.684597,-0.504272
18,7,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.258819,0.965926,-0.5,0.866025,-0.275565,0.95899,0.261052,1.97828,0.968179,-0.682226,-0.489405
18,7,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.258819,0.965926,-0.5,0.866025,-0.338411,0.932958,0.261052,1.96236,0.976032,-0.674147,-0.497377
18,7,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.258819,0.965926,-0.5,0.866025,-0.420408,0.898993,0.261052,1.94497,0.984756,-0.665248,-0.506309
18,7,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.258819,0.965926,-0.5,0.866025,-0.483254,0.872962,0.261052,1.9343,0.990189,-0.659746,-0.511911
18,8,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.5,0.866025,-0.707107,0.707107,-0.51438,0.854991,0.261052,1.92499,0.927174,-0.65492,-0.481652
18,8,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.5,0.866025,-0.707107,0.707107,-0.568347,0.813581,0.261052,1.90055,0.939095,-0.642144,-0.494117
18,8,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.5,0.866025,-0.707107,0.707107,-0.63876,0.759551,0.261052,1.87191,0.953465,-0.626958,-0.509355
18,8,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.5,0.866025,-0.707107,0.707107,-0.692727,0.718141,0.261052,1.85253,0.963437,-0.616554,-0.520065
18,9,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.707107,0.707107,-0.866025,0.5,-0.718141,0.692727,0.261052,1.83876,0.870262,-0.609093,-0.473287
18,9,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.707107,0.707107,-0.866025,0.5,-0.759551,0.63876,0.261052,1.80623,0.885939,-0.591239,-0.490492
18,9,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.707107,0.707107,-0.866025,0.5,-0.813581,0.568347,0.261052,1.76681,0.905702,-0.569177,-0.512619
18,9,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.707107,0.707107,-0.866025,0.5,-0.854991,0.51438,0.261052,1.73907,0.920152,-0.553349,-0.529106
18,10,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.866025,0.5,-0.965926,0.258819,-0.872962,0.483254,0.261052,1.72108,0.798412,-0.54295,-0.463903
18,10,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.866025,0.5,-0.965926,0.258819,-0.898993,0.420408,0.261052,1.681,0.817449,-0.519387,-0.486288
18,10,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.866025,0.5,-0.965926,0.258819,-0.932958,0.338411,0.261052,1.63149,0.842254,-0.489493,-0.516249
18,10,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.866025,0.5,-0.965926,0.258819,-0.95899,0.275565,0.261052,1.59585,0.861065,-0.467404,-0.539567
18,11,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.965926,0.258819,-1,5.66554e-16,-0.968292,0.240849,0.261052,1.57394,0.712841,-0.453583,-0.452902
18,11,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.965926,0.258819,-1,5.66554e-16,-0.977171,0.173406,0.261052,1.52701,0.734753,-0.423308,-0.481172
18,11,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.965926,0.258819,-1,5.66554e-16,-0.988755,0.0854127,0.261052,1.46825,0.764155,-0.384071,-0.520453
18,11,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.965926,0.258819,-1,5.66554e-16,-0.997634,0.0179703,0.261052,1.42532,0.787171,-0.354396,-0.552277
18,12,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-1,5.66554e-16,-0.965926,-0.258819,-0.997634,-0.0179703,0.261052,1.39988,0.614996,-0.336385,-0.439321
18,12,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-1,5.66554e-16,-0.965926,-0.258819,-0.988755,-0.0854127,0.261052,1.34689,0.639191,-0.297797,-0.474569
18,12,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-1,5.66554e-16,-0.965926,-0.258819,-0.977171,-0.173406,0.261052,1.27989,0.67265,-0.246774,-0.525553
18,12,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-1,5.66554e-16,-0.965926,-0.258819,-0.968292,-0.240849,0.261052,1.23041,0.699703,-0.207344,-0.568676
18,13,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.965926,-0.258819,-0.866025,-0.5,-0.95899,-0.275565,0.261052,1.20186,0.506516,-0.18387,-0.421443
18,13,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.965926,-0.258819,-0.866025,-0.5,-0.932958,-0.338411,0.261052,1.14373,0.532261,-0.134292,-0.465375
18,13,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.965926,-0.258819,-0.866025,-0.5,-0.898993,-0.420408,0.261052,1.06963,0.569131,-0.0673162,-0.53208
18,13,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.965926,-0.258819,-0.866025,-0.5,-0.872962,-0.483254,0.261052,1.01444,0.600096,-0.0143366,-0.591554
18,14,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.866025,-0.5,-0.707107,-0.707107,-0.854991,-0.51438,0.261052,0.983279,0.389191,0.0168626,-0.39581
18,14,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.866025,-0.5,-0.707107,-0.707107,-0.813581,-0.568347,0.261052,0.920998,0.415509,0.0822971,-0.451151
18,14,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.866025,-0.5,-0.707107,-0.707107,-0.759551,-0.63876,0.261052,0.841078,0.454991,0.17307,-0.540962
18,14,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.866025,-0.5,-0.707107,-0.707107,-0.718141,-0.692727,0.261052,0.781116,0.489919,0.247031,-0.627203
18,15,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.707107,-0.707107,-0.5,-0.866025,-0.692727,-0.718141,0.261052,0.747874,0.264873,0.290521,-0.354168
18,15,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.707107,-0.707107,-0.5,-0.866025,-0.63876,-0.759551,0.261052,0.682517,0.290237,0.381968,-0.425245
18,15,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.707107,-0.707107,-0.5,-0.866025,-0.568347,-0.813581,0.261052,0.598139,0.33118,0.513932,-0.553683
18,15,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.707107,-0.707107,-0.5,-0.866025,-0.51438,-0.854991,0.261052,0.534429,0.37066,0.626557,-0.693564
18,16,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,-0.5,-0.866025,-0.258819,-0.965926,-0.483254,-0.872962,0.261052,0.499673,0.135219,0.693801,-0.270615
18,16,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,-0.5,-0.866025,-0.258819,-0.965926,-0.420408,-0.898993,0.261052,0.432372,0.156267,0.83847,-0.361418
18,16,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,-0.5,-0.866025,-0.258819,-0.965926,-0.338411,-0.932958,0.261052,0.344988,0.195848,1.06425,-0.567696
18,16,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,-0.5,-0.866025,-0.258819,-0.965926,-0.275565,-0.95899,0.261052,0.2786,0.242518,1.27798,-0.870488
18,19,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.258819,-0.965926,0.5,-0.866025,0.275565,-0.95899,0.261052,0.2786,0.242518,1.27798,-0.870488
18,19,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.258819,-0.965926,0.5,-0.866025,0.338411,-0.932958,0.261052,0.344988,0.195848,1.06425,-0.567696
18,19,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.258819,-0.965926,0.5,-0.866025,0.420408,-0.898993,0.261052,0.432372,0.156267,0.83847,-0.361418
18,19,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.258819,-0.965926,0.5,-0.866025,0.483254,-0.872962,0.261052,0.499673,0.135219,0.693801,-0.270615
18,20,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.5,-0.866025,0.707107,-0.707107,0.51438,-0.854991,0.261052,0.534429,0.37066,0.626557,-0.693564
18,20,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.5,-0.866025,0.707107,-0.707107,0.568347,-0.813581,0.261052,0.598139,0.33118,0.513932,-0.553683
18,20,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.5,-0.866025,0.707107,-0.707107,0.63876,-0.759551,0.261052,0.682517,0.290237,0.381968,-0.425245
18,20,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.5,-0.866025,0.707107,-0.707107,0.692727,-0.718141,0.261052,0.747874,0.264873,0.290521,-0.354168
18,21,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.707107,-0.707107,0.866025,-0.5,0.718141,-0.692727,0.261052,0.781116,0.489919,0.247031,-0.627203
18,21,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.707107,-0.707107,0.866025,-0.5,0.759551,-0.63876,0.261052,0.841078,0.454991,0.17307,-0.540962
18,21,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.707107,-0.707107,0.866025,-0.5,0.813581,-0.568347,0.261052,0.920998,0.415509,0.0822971,-0.451151
18,21,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.707107,-0.707107,0.866025,-0.5,0.854991,-0.51438,0.261052,0.983279,0.389191,0.0168626,-0.39581
18,22,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.866025,-0.5,0.965926,-0.258819,0.872962,-0.483254,0.261052,1.01444,0.600096,-0.0143366,-0.591554
18,22,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.866025,-0.5,0.965926,-0.258819,0.898993,-0.420408,0.261052,1.06963,0.569131,-0.0673162,-0.53208
18,22,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.866025,-0.5,0.965926,-0.258819,0.932958,-0.338411,0.261052,1.14373,0.532261,-0.134292,-0.465375
18,22,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.866025,-0.5,0.965926,-0.258819,0.95899,-0.275565,0.261052,1.20186,0.506516,-0.18387,-0.421443
18,23,0,-0.861136,0.347855,0.930568,0.0694318,-1.83697e-16,-1,0.965926,-0.258819,1,0,0.968292,-0.240849,0.261052,1.23041,0.699703,-0.207344,-0.568676
18,23,1,-0.339981,0.652145,0.669991,0.330009,-1.83697e-16,-1,0.965926,-0.258819,1,0,0.977171,-0.173406,0.261052,1.27989,0.67265,-0.246774,-0.525553
18,23,2,0.339981,0.652145,0.330009,0.669991,-1.83697e-16,-1,0.965926,-0.258819,1,0,0.988755,-0.0854127,0.261052,1.34689,0.639191,-0.297797,-0.474569
18,23,3,0.861136,0.347855,0.0694318,0.930568,-1.83697e-16,-1,0.965926,-0.258819,1,0,0.997634,-0.0179703,0.261052,1.39988,0.614996,-0.336385,-0.439321
19,0,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,1,0,0.965926,0.258819,0.997634,0.0179703,0.261052,1.23041,0.699703,-0.207344,-0.568676
19,0,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,1,0,0.965926,0.258819,0.988755,0.0854127,0.261052,1.27989,0.67265,-0.246774,-0.525553
19,0,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,1,0,0.965926,0.258819,0.977171,0.173406,0.261052,1.34689,0.639191,-0.297797,-0.474569
19,0,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,1,0,0.965926,0.258819,0.968292,0.240849,0.261052,1.39988,0.614996,-0.336385,-0.439321
19,1,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,0.965926,0.258819,0.866025,0.5,0.95899,0.275565,0.261052,1.42532,0.787171,-0.354396,-0.552277
19,1,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,0.965926,0.258819,0.866025,0.5,0.932958,0.338411,0.261052,1.46825,0.764155,-0.384071,-0.520453
19,1,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,0.965926,0.258819,0.866025,0.5,0.898993,0.420408,0.261052,1.52701,0.734753,-0.423308,-0.481172
19,1,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,0.965926,0.258819,0.866025,0.5,0.872962,0.483254,0.261052,1.57394,0.712841,-0.453583,-0.452902
19,2,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,0.866025,0.5,0.707107,0.707107,0.854991,0.51438,0.261052,1.59585,0.861065,-0.467404,-0.539567
19,2,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,0.866025,0.5,0.707107,0.707107,0.813581,0.568347,0.261052,1.63149,0.842254,-0.489493,-0.516249
19,2,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,0.866025,0.5,0.707107,0.707107,0.759551,0.63876,0.261052,1.681,0.817449,-0.519387,-0.486288
19,2,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,0.866025,0.5,0.707107,0.707107,0.718141,0.692727,0.261052,1.72108,0.798412,-0.54295,-0.463903
19,3,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,0.707107,0.707107,0.5,0.866025,0.692727,0.718141,0.261052,1.73907,0.920152,-0.553349,-0.529106
19,3,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,0.707107,0.707107,0.5,0.866025,0.63876,0.759551,0.261052,1.76681,0.905702,-0.569177,-0.512619
19,3,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,0.707107,0.707107,0.5,0.866025,0.568347,0.813581,0.261052,1.80623,0.885939,-0.591239,-0.490492
19,3,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,0.707107,0.707107,0.5,0.866025,0.51438,0.854991,0.261052,1.83876,0.870262,-0.609093,-0.473287
19,4,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,0.5,0.866025,0.258819,0.965926,0.483254,0.872962,0.261052,1.85253,0.963437,-0.616554,-0.520065
19,4,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,0.5,0.866025,0.258819,0.965926,0.420408,0.898993,0.261052,1.87191,0.953465,-0.626958,-0.509355
19,4,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,0.5,0.866025,0.258819,0.965926,0.338411,0.932958,0.261052,1.90055,0.939095,-0.642144,-0.494117
19,4,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,0.5,0.866025,0.258819,0.965926,0.275565,0.95899,0.261052,1.92499,0.927174,-0.65492,-0.481652
19,5,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,0.258819,0.965926,6.12323e-17,1,0.240849,0.968292,0.261052,1.9343,0.990189,-0.659746,-0.511911
19,5,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,0.258819,0.965926,6.12323e-17,1,0.173406,0.977171,0.261052,1.94497,0.984756,-0.665248,-0.506309
19,5,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,0.258819,0.965926,6.12323e-17,1,0.0854127,0.988755,0.261052,1.96236,0.976032,-0.674147,-0.497377
19,5,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,0.258819,0.965926,6.12323e-17,1,0.0179703,0.997634,0.261052,1.97828,0.968179,-0.682226,-0.489405
19,6,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,6.12323e-17,1,-0.258819,0.965926,-0.0179703,0.997634,0.261052,1.98297,0.999958,-0.684597,-0.504272
19,6,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,6.12323e-17,1,-0.258819,0.965926,-0.0854127,0.988755,0.261052,1.98476,0.999058,-0.685498,-0.503364
19,6,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,6.12323e-17,1,-0.258819,0.965926,-0.173406,0.977171,0.261052,1.99059,0.996132,-0.68843,-0.500421
19,6,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,6.12323e-17,1,-0.258819,0.965926,-0.240849,0.968292,0.261052,1.99771,0.992579,-0.692004,-0.496857
19,7,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,-0.258819,0.965926,-0.5,0.866025,-0.275565,0.95899,0.261052,1.99771,0.992579,-0.692004,-0.496857
19,7,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,-0.258819,0.965926,-0.5,0.866025,-0.338411,0.932958,0.261052,1.99059,0.996132,-0.68843,-0.500421
19,7,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,-0.258819,0.965926,-0.5,0.866025,-0.420408,0.898993,0.261052,1.98476,0.999058,-0.685498,-0.503364
19,7,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,-0.258819,0.965926,-0.5,0.866025,-0.483254,0.872962,0.261052,1.98297,0.999958,-0.684597,-0.504272
19,8,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,-0.5,0.866025,-0.707107,0.707107,-0.51438,0.854991,0.261052,1.97828,0.968179,-0.682226,-0.489405
19,8,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,-0.5,0.866025,-0.707107,0.707107,-0.568347,0.813581,0.261052,1.96236,0.976032,-0.674147,-0.497377
19,8,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,-0.5,0.866025,-0.707107,0.707107,-0.63876,0.759551,0.261052,1.94497,0.984756,-0.665248,-0.506309
19,8,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,-0.5,0.866025,-0.707107,0.707107,-0.692727,0.718141,0.261052,1.9343,0.990189,-0.659746,-0.511911
19,9,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,-0.707107,0.707107,-0.866025,0.5,-0.718141,0.692727,0.261052,1.92499,0.927174,-0.65492,-0.481652
19,9,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,-0.707107,0.707107,-0.866025,0.5,-0.759551,0.63876,0.261052,1.90055,0.939095,-0.642144,-0.494117
19,9,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,-0.707107,0.707107,-0.866025,0.5,-0.813581,0.568347,0.261052,1.87191,0.953465,-0.626958,-0.509355
19,9,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,-0.707107,0.707107,-0.866025,0.5,-0.854991,0.51438,0.261052,1.85253,0.963437,-0.616554,-0.520065
19,10,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,-0.866025,0.5,-0.965926,0.258819,-0.872962,0.483254,0.261052,1.83876,0.870262,-0.609093,-0.473287
19,10,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,-0.866025,0.5,-0.965926,0.258819,-0.898993,0.420408,0.261052,1.80623,0.885939,-0.591239,-0.490492
19,10,2,0.339981,0.652145,0.330009,0.669991,0.258819,-0.965926,-0.866025,0.5,-0.965926,0.258819,-0.932958,0.338411,0.261052,1.76681,0.905702,-0.569177,-0.512619
19,10,3,0.861136,0.347855,0.0694318,0.930568,0.258819,-0.965926,-0.866025,0.5,-0.965926,0.258819,-0.95899,0.275565,0.261052,1.73907,0.920152,-0.553349,-0.529106
19,11,0,-0.861136,0.347855,0.930568,0.0694318,0.258819,-0.965926,-0.965926,0.258819,-1,5.66554e-16,-0.968292,0.240849,0.261052,1.72108,0.798412,-0.54295,-0.463903
19,11,1,-0.339981,0.652145,0.669991,0.330009,0.258819,-0.965926,-0.965926,0.258819,-1,5.66554e-16,-0.977171,0.173406,0.261052,1.681,0.817449,-0.519387,-0.486288
